title,elevation,name
Kulshan,3285,Mount-Baker
Mirkwood,1500,Mount-Baker
Luna Peak,2533,Luna-Peak-Washington
Liberty Bell,2353,Liberty-Bell-Mountain
Dragontail,2694,Dragontail-Peak
Dakobed,3213,Glacier-Peak
Snoqualmie Mtn,1914,Snoqualmie-Mountain
Tahoma,4392,Mount-Rainier
Camp Muir,3500,Mount-Rainier
Paradise,1500,Mount-Rainier
Mt Olympus,2427,Mount-Olympus-2
Mt Index,1832,Mount-Index
Mt Hood,3426,Mount-Hood
Mt Darwin,4216,Mount-Darwin
Devils Thumb,2767,Devils-Thumb
Mt Waddington,4016,Mount-Waddington
Slesse,2393,Slesse-Peak
Serratus,2321,Serratus-Mountain
Shasta,4317,Mount-Shasta
Yosemite,1000,Half-Dome
Stawamus Chief,702,Stawamus-Chief
Big Four,1878,Big-Four-Mountain
